BASKET_ITEM;YEAR;PRICE_INDEX
CC13-012;2021;102,7
CC13-012;2022;110,1
CC13-012;2023;121,7
CC13-0121;2016;99,6
CC13-0121;2017;102,1
CC13-0121;2018;102,0
CC13-0121;2019;100,7
CC13-0121;2020;100,0
CC13-0121;2021;103,0
CC13-0121;2022;114,9
CC13-0121;2023;120,5
CC13-01211;2016;100,4
CC13-01211;2017;103,5
CC13-01211;2018;102,9
CC13-01211;2019;100,9
CC13-01211;2020;100,0
CC13-01211;2021;103,5
CC13-01211;2022;117,9
CC13-01211;2023;122,5
CC13-01212;2016;98,0
CC13-01212;2017;97,9
CC13-01212;2018;99,5
CC13-01212;2019;100,2
CC13-01212;2020;100,0
CC13-01212;2021;101,7
CC13-01212;2022;105,4
CC13-01212;2023;111,9
CC13-01213;2016;92,6
CC13-01213;2017;95,4
CC13-01213;2018;96,6
CC13-01213;2019;97,9
CC13-01213;2020;100,0
CC13-01213;2021;99,7
CC13-01213;2022;107,6
CC13-01213;2023;127,8
CC13-0122;2016;94,6
CC13-0122;2017;95,3
CC13-0122;2018;97,8
CC13-0122;2019;98,3
CC13-0122;2020;100,0
CC13-0122;2021;102,7
CC13-0122;2022;107,9
CC13-0122;2023;122,2
CC13-01221;2016;95,9
CC13-01221;2017;96,7
CC13-01221;2018;97,7
CC13-01221;2019;99,8
CC13-01221;2020;100,0
CC13-01221;2021;102,2
CC13-01221;2022;109,5
CC13-01221;2023;120,9
CC13-01222;2016;92,0
CC13-01222;2017;92,1
CC13-01222;2018;94,9
CC13-01222;2019;96,3
CC13-01222;2020;100,0
CC13-01222;2021;103,4
CC13-01222;2022;108,3
CC13-01222;2023;120,6
CC13-01223;2016;96,0
CC13-01223;2017;97,4
CC13-01223;2018;101,5
CC13-01223;2019;98,7
CC13-01223;2020;100,0
CC13-01223;2021;102,1
CC13-01223;2022;105,4
CC13-01223;2023;126,2
CC13-02;2016;90,6
CC13-02;2017;92,8
CC13-02;2018;95,7
CC13-02;2019;98,1
CC13-02;2020;100,0
CC13-02;2021;103,5
CC13-02;2022;107,9
CC13-02;2023;117,1
CC13-021;2016;97,3
CC13-021;2017;97,7
CC13-021;2018;99,8
CC13-021;2019;100,7
CC13-021;2020;100,0
CC13-021;2021;101,6
CC13-021;2022;106,0
CC13-021;2023;116,0
CC13-0211;2016;99,4
CC13-0211;2017;99,5
CC13-0211;2018;99,8
CC13-0211;2019;100,5
CC13-0211;2020;100,0
CC13-0211;2021;101,9
CC13-0211;2022;105,1
CC13-0211;2023;113,0
CC13-02111;2016;99,5
CC13-02111;2017;99,5
CC13-02111;2018;99,8
CC13-02111;2019;100,5
CC13-02111;2020;100,0
CC13-02111;2021;101,9
CC13-02111;2022;105,1
CC13-02111;2023;112,8
CC13-02112;2016;98,1
CC13-02112;2017;99,2
CC13-02112;2018;100,1
CC13-02112;2019;99,6
CC13-02112;2020;100,0
CC13-02112;2021;101,2
CC13-02112;2022;105,0
CC13-02112;2023;117,1
CC13-0212;2016;97,6
CC13-0212;2017;98,0
CC13-0212;2018;100,0
CC13-0212;2019;100,6
CC13-0212;2020;100,0
CC13-0212;2021;101,7
CC13-0212;2022;106,4
CC13-0212;2023;115,4
CC13-02121;2016;97,3
CC13-02121;2017;97,8
CC13-02121;2018;99,9
CC13-02121;2019;100,5
CC13-02121;2020;100,0
CC13-02121;2021;101,8
CC13-02121;2022;106,6
CC13-02121;2023;115,3
CC13-02122;2016;95,3
CC13-02122;2017;93,9
CC13-02122;2018;96,8
CC13-02122;2019;98,9
CC13-02122;2020;100,0
CC13-02122;2021;102,7
CC13-02122;2022;107,5
CC13-02122;2023;120,3
CC13-02123;2016;99,3
CC13-02123;2017;99,6
CC13-02123;2018;100,3
CC13-02123;2019;100,7
CC13-02123;2020;100,0
CC13-02123;2021;100,9
CC13-02123;2022;101,7
CC13-02123;2023;108,2
CC13-02124;2016;105,7
CC13-02124;2017;105,7
CC13-02124;2018;104,5
CC13-02124;2019;102,8
CC13-02124;2020;100,0
